name,state,website,domain,twitter,youtube,facebook,owner,medium,source,collection_date
KWHE,HI,http://www.kwhe.com/,kwhe.com,,,,LeSea,TV station,stationindex,2018-08-02 14:55:24.612585
WGVK,MI,http://www.wgvu.org/,wgvu.org,,,,Grand Valley State University,TV station,stationindex,2018-08-02 14:55:24.612585
KNIC-CD,TX,,,,,,Univision,TV station,stationindex,2018-08-02 14:55:24.612585
KTUU,AK,http://www.ktuu.com/,ktuu.com,,,,Schurz Communications,TV station,stationindex,2018-08-02 14:55:24.612585
KTBY,AK,http://www.ktbytv.com/,ktbytv.com,,,,Coastal Television Broadcasting,TV station,stationindex,2018-08-02 14:55:24.612585
KYES,AK,http://www.kyes.com/,kyes.com,,,,Fireweed Communications,TV station,stationindex,2018-08-02 14:55:24.612585
KNIK-LP,AK,http://www.knik.com/,knik.com,,,,Fireweed Communications,TV station,stationindex,2018-08-02 14:55:24.612585
KAKM,AK,http://www.kakm.org/,kakm.org,,,,Alaska Public Telecommunications,TV station,stationindex,2018-08-02 14:55:24.612585
KTVA,AK,http://www.ktva.com/,ktva.com,,,,MediaNews Group,TV station,stationindex,2018-08-02 14:55:24.612585
KTPP-LD,AK,,,,,,One Ministries,TV station,stationindex,2018-08-02 14:55:24.612585
KYUR,AK,http://www.youralaskalink.com/,youralaskalink.com,,,,Coastal Television Broadcasting Company,TV station,stationindex,2018-08-02 14:55:24.612585
KDMD,AK,,,,,,Ketchikan Television,TV station,stationindex,2018-08-02 14:55:24.612585
KCFT-LP,AK,Alaska Broadcast Television,alaska broadcast television,,,,,TV station,stationindex,2018-08-02 14:55:24.612585
KACN-LP,AK,,,,,,Dan Etulain,TV station,stationindex,2018-08-02 14:55:24.612585
KATN,AK,http://www.aksuperstation.com/,aksuperstation.com,,,,Smith Media,TV station,stationindex,2018-08-02 14:55:24.612585
KFXF,AK,http://www.tvtv.com/,tvtv.com,,,,Tanana Valley Television,TV station,stationindex,2018-08-02 14:55:24.612585
KUAC,AK,http://www.alaskaone.org/,alaskaone.org,,,,University of Alaska,TV station,stationindex,2018-08-02 14:55:24.612585
KTVF,AK,http://www.webcenter11.com/,webcenter11.com,,,,Newport Television,TV station,stationindex,2018-08-02 14:55:24.612585
K13XD,AK,http://www.tvtv.com/,tvtv.com,,,,Tanana Valley Television,TV station,stationindex,2018-08-02 14:55:24.612585
KDMD-LP,AK,,,,,,Ketchikan Television,TV station,stationindex,2018-08-02 14:55:24.612585
KFSM,AK,http://5newsonline.com/,5newsonline.com,5news,,https://www.facebook.com/5news,Tribune,TV station,tribunemedia.com,2018-08-04 01:06:48.283394
KXNW,AK,http://5newsonline.com/contact/kxnw-2/,5newsonline.com,,,,Tribune,TV station,tribunemedia.com,2018-08-04 01:06:48.283394
WBRC,AL,http://www.wbrc.com/,wbrc.com,,,,Local TV LLC,TV station,stationindex,2018-08-02 14:55:24.612585
WCIQ,AL,http://www.aptv.org/,aptv.org,,,,Alabama Public Television,TV station,stationindex,2018-08-02 14:55:24.612585
WBIQ,AL,http://www.aptv.org/,aptv.org,,,,Alabama Public Television,TV station,stationindex,2018-08-02 14:55:24.612585
WVTM,AL,http://www.wvtm13.com/,wvtm13.com,,,,Nexstar Media Group,TV station,stationindex,2018-08-02 14:55:24.612585
WUOA,AL,,,,,,University of Alabama,TV station,stationindex,2018-08-02 14:55:24.612585
WSES,AL,,,,,,Howard Stirk Holdings,TV station,stationindex,2018-08-02 14:55:24.612585
WGWW,AL,http://www.abc3340.com/,abc3340.com,,,,Howard Stirk Holdings,TV station,stationindex,2018-08-02 14:55:24.612585
WPXH,AL,,,,,,Ion Media Networks,TV station,stationindex,2018-08-02 14:55:24.612585
WBMA-LD,AL,https://abc3340.com/,abc3340.com,,,,Sinclair Broadcast Group,TV station,stationindex,2018-08-02 14:55:24.612585
WTJP,AL,http://www.tbn.org/,tbn.org,,,,Trinity Broadcasting Network,TV station,stationindex,2018-08-02 14:55:24.612585
WPMI,AL,http://www.wpmi.com/,wpmi.com,,,,Newport Television,TV station,stationindex,2018-08-02 14:55:24.612585
WMPV,AL,http://www.tbn.org/,tbn.org,,,,Trinity Broadcasting Network,TV station,stationindex,2018-08-02 14:55:24.612585
WDPM,AL,,,,,,Word of God Fellowship (Daystar),TV station,stationindex,2018-08-02 14:55:24.612585
WEIQ,AL,http://www.aptv.org/,aptv.org,,,,Alabama Educational Television,TV station,stationindex,2018-08-02 14:55:24.612585
WBPG,AL,http://www.gocwtv.com/,gocwtv.com,,,,LIN TV,TV station,stationindex,2018-08-02 14:55:24.612585
WTZT-CD,AL,,,,,,Jamie Cooper Television,TV station,stationindex,2018-08-02 14:55:24.612585
WHDF,AL,http://www.thevalleyscw.tv/,thevalleyscw.tv,,,,Lockwood Broadcast Group,TV station,stationindex,2018-08-02 14:55:24.612585
WHIQ,AL,http://www.aptv.org/,aptv.org,,,,Alabama Public Television,TV station,stationindex,2018-08-02 14:55:24.612585
WAAY,AL,http://www.waaytv.com/,waaytv.com,,,,Piedmont Television,TV station,stationindex,2018-08-02 14:55:24.612585
WFIQ,AL,http://www.aptv.org/,aptv.org,,,,Alabama Public Television,TV station,stationindex,2018-08-02 14:55:24.612585
WAFF,AL,http://www.waff.com/,waff.com,,,,Raycom,TV station,stationindex,2018-08-02 14:55:24.612585
WZDX,AL,http://www.fox54.com/,fox54.com,,,,Huntsville Television Acquisition,TV station,stationindex,2018-08-02 14:55:24.612585
WAKA,AL,http://www.waka.com/,waka.com,,,,Alabama Broadcasting Partners,TV station,stationindex,2018-08-02 14:55:24.612585
WSFA,AL,http://www.wsfa.com/,wsfa.com,,,,,TV station,stationindex,2018-08-02 14:55:24.612585
WCOV,AL,http://www.wcov.com/,wcov.com,,,,Woods Communications,TV station,stationindex,2018-08-02 14:55:24.612585
WBMM,AL,http://www.cwmontgomery.com/,cwmontgomery.com,,,,Bahakel Communications,TV station,stationindex,2018-08-02 14:55:24.612585
WAIQ,AL,http://www.aptv.org/,aptv.org,,,,Alabama Educational Television,TV station,stationindex,2018-08-02 14:55:24.612585
WBIH,AL,,,,,,Flinn Broadcasting,TV station,stationindex,2018-08-02 14:55:24.612585
WNCF,AL,http://www.alabamanews.net/,alabamanews.net,,,,SagamoreHill Broadcasting,TV station,stationindex,2018-08-02 14:55:24.612585
WMCF,AL,,,,,,Trinity Broadcasting Network,TV station,stationindex,2018-08-02 14:55:24.612585
WRJM,AL,http://www.wrjm.com/,wrjm.com,,,,Josie Park Broadcasting,TV station,stationindex,2018-08-02 14:55:24.612585
WLGA,AL,,,,,,Pappas Telecasting,TV station,stationindex,2018-08-02 14:55:24.612585
WDIQ,AL,http://www.aptv.org/,aptv.org,,,,Alabama Educational Television Commission,TV station,stationindex,2018-08-02 14:55:24.612585
WTVY,AL,http://www.wtvynews4.com/,wtvynews4.com,,,,Gray Television,TV station,stationindex,2018-08-02 14:55:24.612585
WDHN,AL,http://www.wdhn.com/,wdhn.com,,,,Nexstar,TV station,stationindex,2018-08-02 14:55:24.612585
WDFX,AL,http://www.wdfxfox34.com/,wdfxfox34.com,,,,Raycom,TV station,stationindex,2018-08-02 14:55:24.612585
WGIQ,AL,http://www.aptv.org/,aptv.org,,,,Alabama Educational Television Commission,TV station,stationindex,2018-08-02 14:55:24.612585
WIIQ,AL,http://www.aptv.org/,aptv.org,,,,Alabama Educational Television,TV station,stationindex,2018-08-02 14:55:24.612585
WALA,AL,http://www.fox10tv.com/,fox10tv.com,Fox10News,,https://www.facebook.com/FOX10News,Meredith,TV station,meridith.com,2018-08-02 14:55:24.612585
WIAT,AL,cbs42.com,cbs42.com,,,,Nexstar,TV station,nexstar.tv,2018-08-02 20:31:06.425892
WKRG,AL,wkrg.com,wkrg.com,,,,Nexstar,TV station,nexstar.tv,2018-08-02 20:31:06.425892
WFNA,AL,wkrg.com,wkrg.com,,,,Nexstar,TV station,nexstar.tv,2018-08-02 20:31:06.425892
WZDX,AL,rocketcitynow.com,rocketcitynow.com,,,,Nexstar,TV station,nexstar.tv,2018-08-02 20:31:06.425892
WAMY,AL,rocketcitynow.com,rocketcitynow.com,,,,Nexstar,TV station,nexstar.tv,2018-08-02 20:31:06.425892
WHDF,AL,rocketcitynow.com,rocketcitynow.com,,,,Nexstar,TV station,nexstar.tv,2018-08-02 20:31:06.425892
WDHN,AL,dothanfirst.com,dothanfirst.com,,,,Nexstar,TV station,nexstar.tv,2018-08-02 20:31:06.425892
WHNT,AL,http://whnt.com/,whnt.com,whnt,https://www.youtube.com/user/whntnews19 ,https://www.facebook.com/whntnews19,Tribune,TV station,tribunemedia.com,2018-08-04 01:06:48.283394
WVTM-TV,AL,http://www.wvtm13.com/,wvtm13.com,WVTM13,,https://www.facebook.com/WVTM13,Hearst,TV station,hearst.com,2018-08-02 14:55:24.612585
WABM,AL,http://www.wabm68.com,wabm68.com,,,,Sinclair,TV station,sbgi.net,2018-08-02 14:55:24.612585
WBMA,AL,http://www.abc3340.com,abc3340.com,,,,Sinclair,TV station,sbgi.net,2018-08-02 14:55:24.612585
WDBB,AL,http://www.wtto21.com,wtto21.com,,,,Sinclair,TV station,sbgi.net,2018-08-02 14:55:24.612585
WTTO-3,AL,http://www.comettv.com/,comettv.com,,,,Sinclair,TV station,sbgi.net,2018-08-02 14:55:24.612585
WTTO,AL,http://www.wtto21.com,wtto21.com,,,,Sinclair,TV station,sbgi.net,2018-08-02 14:55:24.612585
WFGX-3,AL,http://www.comettv.com/,comettv.com,,,,Sinclair,TV station,sbgi.net,2018-08-02 14:55:24.612585
WJTC,AL,http://www.utv44.com,utv44.com,,,,Sinclair,TV station,sbgi.net,2018-08-02 14:55:24.612585
WFGX,AL,http://www.wfgxtv.com,wfgxtv.com,,,,Sinclair,TV station,sbgi.net,2018-08-02 14:55:24.612585
WEAR,AL,http://www.weartv.com,weartv.com,,,,Sinclair,TV station,sbgi.net,2018-08-02 14:55:24.612585
WPMI,AL,http://www.local15tv.com,local15tv.com,,,,Sinclair,TV station,sbgi.net,2018-08-02 14:55:24.612585
WBMA-3,AL,,,,,,Sinclair,TV station,sbgi.net,2018-08-02 20:31:06.425892
WBMA-4,AL,,,,,,Sinclair,TV station,sbgi.net,2018-08-02 20:31:06.425892
WBMA-2,AL,,,,,,Sinclair,TV station,sbgi.net,2018-08-02 20:31:06.425892
WABM-3,AL,,,,,,Sinclair,TV station,sbgi.net,2018-08-02 20:31:06.425892
WABM-2,AL,,,,,,Sinclair,TV station,sbgi.net,2018-08-02 20:31:06.425892
WTTO-2,AL,,,,,,Sinclair,TV station,sbgi.net,2018-08-02 20:31:06.425892
WDBB-3,AL,,,,,,Sinclair,TV station,sbgi.net,2018-08-02 20:31:06.425892
WDBB-2,AL,,,,,,Sinclair,TV station,sbgi.net,2018-08-02 20:31:06.425892
WTTO-4,AL,,,,,,Sinclair,TV station,sbgi.net,2018-08-02 20:31:06.425892
WJTC-2,AL,,,,,,Sinclair,TV station,sbgi.net,2018-08-02 20:31:06.425892
WFGX-2,AL,,,,,,Sinclair,TV station,sbgi.net,2018-08-02 20:31:06.425892
WEAR-3,AL,,,,,,Sinclair,TV station,sbgi.net,2018-08-02 20:31:06.425892
WPMI-2,AL,,,,,,Sinclair,TV station,sbgi.net,2018-08-02 20:31:06.425892
WPMI-3,AL,,,,,,Sinclair,TV station,sbgi.net,2018-08-02 20:31:06.425892
WEAR-2,AL,,,,,,Sinclair,TV station,sbgi.net,2018-08-02 20:31:06.425892
KETS,AR,http://www.aetn.org/,aetn.org,,,,Arkansas Educational Television,TV station,stationindex,2018-08-02 14:55:24.612585
KTHV,AR,http://www.todaysthv.com/,todaysthv.com,,,,Tegna Media,TV station,stationindex,2018-08-02 14:55:24.612585
KLRT,AR,http://www.klrt.com/,klrt.com,,,,Newport Television,TV station,stationindex,2018-08-02 14:55:24.612585
KVTN,AR,http://www.vtntv.com/,vtntv.com,,,,Agape Church,TV station,stationindex,2018-08-02 14:55:24.612585
KKAP,AR,http://www.daystar.com/,daystar.com,,,,Daystar,TV station,stationindex,2018-08-02 14:55:24.612585
KASN,AR,http://www.kasn.com/,kasn.com,,,,Newport Television,TV station,stationindex,2018-08-02 14:55:24.612585
KARZ,AR,,,,,,Nexstar Broadcasting,TV station,stationindex,2018-08-02 14:55:24.612585
KLRA-LP,AR,,,,,,Pinnacle Media,TV station,stationindex,2018-08-02 14:55:24.612585
KWBM,AR,,,,,,Daystar Television Network,TV station,stationindex,2018-08-02 14:55:24.612585
KFSM,AR,http://www.kfsm.com/,kfsm.com,,,,"Local TV, LLC",TV station,stationindex,2018-08-02 14:55:24.612585
KFDF-CA,AR,,,,,,Pinnacle Media,TV station,stationindex,2018-08-02 14:55:24.612585
KAFT,AR,http://www.aetn.org/,aetn.org,,,,Arkansas Educational Television,TV station,stationindex,2018-08-02 14:55:24.612585
KHOG,AR,http://www.4029tv.com/,4029tv.com,,,,Hearst Television,TV station,stationindex,2018-08-02 14:55:24.612585
KPBI,AR,,,,,,Pinnacle Media,TV station,stationindex,2018-08-02 14:55:24.612585
KHBS,AR,http://www.4029tv.com/,4029tv.com,,,,Hearst Television,TV station,stationindex,2018-08-02 14:55:24.612585
KPBI-CA,AR,,,,,,Equity Media Holdings,TV station,stationindex,2018-08-02 14:55:24.612585
KNWA,AR,http://www.knwa.com/,knwa.com,,,,Nexstar,TV station,stationindex,2018-08-02 14:55:24.612585
KWOG,AR,http://www.safetv.org/,safetv.org,,,,Total Life Community Educational Foundation,TV station,stationindex,2018-08-02 14:55:24.612585
KTVE,AR,http://www.region10.com/,region10.com,,,,Piedmont Television,TV station,stationindex,2018-08-02 14:55:24.612585
KETZ,AR,http://www.aetn.org/,aetn.org,,,,Arkansas Educational Television,TV station,stationindex,2018-08-02 14:55:24.612585
KKYK,AR,,,,,,Hallmark National Mortgage Corporation,TV station,stationindex,2018-08-02 14:55:24.612585
KAIT,AR,http://www.kait8.com/,kait8.com,,,,Raycom,TV station,stationindex,2018-08-02 14:55:24.612585
KTEJ,AR,http://www.aetn.org/,aetn.org,,,,Arkansas Educational Television,TV station,stationindex,2018-08-02 14:55:24.612585
KVTJ,AR,http://www.vtntv.com/,vtntv.com,,,,Agape Church,TV station,stationindex,2018-08-02 14:55:24.612585
KARK,AR,kark.com,kark.com,,,,Nexstar,TV station,nexstar.tv,2018-08-02 20:31:06.425892
KARZ,AR,kark.com,kark.com,,,,Nexstar,TV station,nexstar.tv,2018-08-02 20:31:06.425892
KLRT,AR,fox16.com,fox16.com,,,,Nexstar,TV station,nexstar.tv,2018-08-02 20:31:06.425892
KASN ,AR,cwarkansas.com,cwarkansas.com,,,,Nexstar,TV station,nexstar.tv,2018-08-02 20:31:06.425892
KNWA,AR,nwahomepage.com,nwahomepage.com,,,,Nexstar,TV station,nexstar.tv,2018-08-02 20:31:06.425892
KFTA,AR,nwahomepage.com,nwahomepage.com,,,,Nexstar,TV station,nexstar.tv,2018-08-02 20:31:06.425892
KARD,AR,myarklamiss.com,myarklamiss.com,,,,Nexstar,TV station,nexstar.tv,2018-08-02 20:31:06.425892
KTVE,AR,myarklamiss.com,myarklamiss.com,,,,Nexstar,TV station,nexstar.tv,2018-08-02 20:31:06.425892
KHBS-TV/KHOG-TV,AR,http://www.4029tv.com/,4029tv.com,4029news,,https://www.facebook.com/4029news?fref=ts,Hearst,TV station,hearst.com,2018-08-02 14:55:24.612585
KATV-2,AR,http://www.comettv.com/,comettv.com,,,,Sinclair,TV station,sbgi.net,2018-08-02 14:55:24.612585
KATV,AR,http://www.katv.com,katv.com,,,,Sinclair,TV station,sbgi.net,2018-08-02 14:55:24.612585
KATV-3,AR,,,,,,Sinclair,TV station,sbgi.net,2018-08-02 20:31:06.425892
KATV-4,AR,,,,,,Sinclair,TV station,sbgi.net,2018-08-02 20:31:06.425892
KPHO,AZ,http://www.cbs5az.com/,cbs5az.com,,,,Meredith Corporation,TV station,stationindex,2018-08-02 14:55:24.612585
KAZT,AZ,http://www.aztv.com/,aztv.com,,,,The Londen Group,TV station,stationindex,2018-08-02 14:55:24.612585
KAET,AZ,http://www.kaet.asu.edu/,kaet.asu.edu,,,,Arizona State University,TV station,stationindex,2018-08-02 14:55:24.612585
KSAZ,AZ,http://www.fox10phoenix.com/,fox10phoenix.com,,,,Fox Television Stations,TV station,stationindex,2018-08-02 14:55:24.612585
KPNX,AZ,http://www.azcentral.com/12news/,azcentral.com,,,,Tegna Media,TV station,stationindex,2018-08-02 14:55:24.612585
KNXV,AZ,http://www.abc15.com/,abc15.com,,,,E. W. Scripps Company,TV station,stationindex,2018-08-02 14:55:24.612585
KPAZ,AZ,http://www.tbn.org/,tbn.org,,,,Trinity Broadcasting Network,TV station,stationindex,2018-08-02 14:55:24.612585
KAZT-CD,AZ,http://www.aztv.com/,aztv.com,,,,,TV station,stationindex,2018-08-02 14:55:24.612585
KCAB-LP,AZ,,,,,,Central Arizona Broadcasting,TV station,stationindex,2018-08-02 14:55:24.612585
KTVW,AZ,,,,,,Univision Communications,TV station,stationindex,2018-08-02 14:55:24.612585
KFPH-CA,AZ,,,,,,Univision,TV station,stationindex,2018-08-02 14:55:24.612585
K38IZ-D,AZ,,,,,,Spanish Independent Broadcast Network,TV station,stationindex,2018-08-02 14:55:24.612585
KTAZ,AZ,,,,,,NBC Universal,TV station,stationindex,2018-08-02 14:55:24.612585
KPDF-CA,AZ,,,,,,Northstar Media,TV station,stationindex,2018-08-02 14:55:24.612585
KVPA-LD,AZ,,,,,,Liberman Broadcasting,TV station,stationindex,2018-08-02 14:55:24.612585
KEJR-LD,AZ,http://www.kejr40.com/,kejr40.com,,,,HERO Broadcasting,TV station,stationindex,2018-08-02 14:55:24.612585
KPHE-LD,AZ,,,,,,Lotus Communications,TV station,stationindex,2018-08-02 14:55:24.612585
KUTP,AZ,http://www.fox10phoenix.com/fox10xtra,fox10phoenix.com,,,,Fox Television Stations,TV station,stationindex,2018-08-02 14:55:24.612585
KDPH-LP,AZ,,,,,,Daystar,TV station,stationindex,2018-08-02 14:55:24.612585
KPPX,AZ,,,,,,Ion Media Networks,TV station,stationindex,2018-08-02 14:55:24.612585
KDTP-LP,AZ,,,,,,Daystar,TV station,stationindex,2018-08-02 14:55:24.612585
KVOA,AZ,http://www.kvoa.com/,kvoa.com,,,,Evening Post Publishing Company,TV station,stationindex,2018-08-02 14:55:24.612585
KUAT,AZ,http://tv.azpm.org/,tv.azpm.org,,,,University of Arizona,TV station,stationindex,2018-08-02 14:55:24.612585
KGUN,AZ,http://www.kgun9.com/,kgun9.com,,,,Journal Broadcast Group,TV station,stationindex,2018-08-02 14:55:24.612585
KMSB,AZ,http://www.fox11az.com/,fox11az.com,,,,Tegna Media,TV station,stationindex,2018-08-02 14:55:24.612585
KOLD,AZ,http://www.kold.com/,kold.com,,,,Raycom Media,TV station,stationindex,2018-08-02 14:55:24.612585
KUDF-LP,AZ,,,,,,Northstar Media,TV station,stationindex,2018-08-02 14:55:24.612585
KTTU,AZ,http://www.kttu.com/,kttu.com,,,,Tegna Media,TV station,stationindex,2018-08-02 14:55:24.612585
KFTU-CD,AZ,,,,,,Univision,TV station,stationindex,2018-08-02 14:55:24.612585
KUAS,AZ,http://tv.azpm.org/,tv.azpm.org,,,,,TV station,stationindex,2018-08-02 14:55:24.612585
KHRR,AZ,,,,,,NBC Universal,TV station,stationindex,2018-08-02 14:55:24.612585
KUVE,AZ,,,,,,Univision Communications,TV station,stationindex,2018-08-02 14:55:24.612585
KWBA,AZ,,,,,,Journal Broadcast Group,TV station,stationindex,2018-08-02 14:55:24.612585
KYMA,AZ,http://www.kyma.com/,kyma.com,,,,,TV station,stationindex,2018-08-02 14:55:24.612585
KSWT,AZ,http://www.kswt.com/,kswt.com,,,,Pappas Telecasting,TV station,stationindex,2018-08-02 14:55:24.612585
KTVK,AZ,http://www.azfamily.com/,azfamily.com,azfamily,,https://www.facebook.com/3TVPhoenix,Meredith,TV station,meridith.com,2018-08-02 14:55:24.612585
KPHO,AZ,http://www.kpho.com/,kpho.com,CBS5AZ,,https://www.facebook.com/CBS5AZ,Meredith,TV station,meridith.com,2018-08-02 14:55:24.612585
KASW,AZ,yourphx.com,yourphx.com,,,,Nexstar,TV station,nexstar.tv,2018-08-02 20:31:06.425892
KCBS,CA,http://losangeles.cbslocal.com/,losangeles.cbslocal.com,,,,CBS Corporation,TV station,stationindex,2018-08-02 14:55:24.612585
KNBC,CA,http://www.nbclosangeles.com/,nbclosangeles.com,,,,NBC Universal,TV station,stationindex,2018-08-02 14:55:24.612585
KABC,CA,http://www.abc7.com/,abc7.com,,,,ABC,TV station,stationindex,2018-08-02 14:55:24.612585
KFLA-LD,CA,,,,,,Roy William Mayhugh,TV station,stationindex,2018-08-02 14:55:24.612585
KCAL,CA,http://losangeles.cbslocal.com/,losangeles.cbslocal.com,,,,CBS Corporation,TV station,stationindex,2018-08-02 14:55:24.612585
KIIO-LD,CA,,,,,,Jeff Chang,TV station,stationindex,2018-08-02 14:55:24.612585
KTTV,CA,http://www.foxla.com/,foxla.com,,,,Fox Television Stations,TV station,stationindex,2018-08-02 14:55:24.612585
KCOP,CA,http://www.foxla.com/my13,foxla.com,,,,Fox Television Stations,TV station,stationindex,2018-08-02 14:55:24.612585
KSCI,CA,,,,,,NRJ TV LLC,TV station,stationindex,2018-08-02 14:55:24.612585
KWHY,CA,https://www.kwhy22.com/,kwhy22.com,,,,Meruelo Broadcasting,TV station,stationindex,2018-08-02 14:55:24.612585
KVMD,CA,http://www.kvmdtv.com/,kvmdtv.com,,,,Ronald Ulloa,TV station,stationindex,2018-08-02 14:55:24.612585
KVCR,CA,http://www.kvcr.org/,kvcr.org,,,,San Bernardino Community College,TV station,stationindex,2018-08-02 14:55:24.612585
KHTV-CD,CA,,,,,,Venture Technologies Group,TV station,stationindex,2018-08-02 14:55:24.612585
KCET,CA,http://www.kcet.org/,kcet.org,,,,Community Television of Southern California,TV station,stationindex,2018-08-02 14:55:24.612585
KPXN,CA,http://www.iontelevision.com/,iontelevision.com,,,,Ion Media Networks,TV station,stationindex,2018-08-02 14:55:24.612585
KMEX,CA,http://www.kmex.com/,kmex.com,,,,Univision Communications,TV station,stationindex,2018-08-02 14:55:24.612585
KTAV-LD,CA,,,,,,Almavision,TV station,stationindex,2018-08-02 14:55:24.612585
KTBN,CA,http://www.tbn.org/,tbn.org,,,,Trinity Broadcasting Network,TV station,stationindex,2018-08-02 14:55:24.612585
KXLA,CA,http://www.kxlatv.com/,kxlatv.com,,,,Rancho Palos Verdes Broadcasters,TV station,stationindex,2018-08-02 14:55:24.612585
KSKJ-CD,CA,,,,,,Capital Broadcasting Corporation,TV station,stationindex,2018-08-02 14:55:24.612585
KFTR,CA,,,,,,Univision Communications,TV station,stationindex,2018-08-02 14:55:24.612585
KOCE,CA,http://www.pbssocal.org/,pbssocal.org,,,,KOCE-TV Foundation,TV station,stationindex,2018-08-02 14:55:24.612585
KVEA,CA,http://www.telemundola.com/,telemundola.com,,,,NBC Universal,TV station,stationindex,2018-08-02 14:55:24.612585
KAZA,CA,,,,,,Weigel Broadcasting,TV station,stationindex,2018-08-02 14:55:24.612585
KDOC,CA,http://www.kdoc.tv/,kdoc.tv,,,,Ellis Communications,TV station,stationindex,2018-08-02 14:55:24.612585
KJLA,CA,,,,,,"Costa de Oro Media, LLC",TV station,stationindex,2018-08-02 14:55:24.612585
KLCS,CA,http://www.klcs.org/,klcs.org,,,,Los Angeles Unified School District,TV station,stationindex,2018-08-02 14:55:24.612585
KRCA,CA,,,,,,Liberman Broadcasting,TV station,stationindex,2018-08-02 14:55:24.612585
KBEH,CA,http://www.canal63.com/,canal63.com,,,,Meruelo Broadcasting,TV station,stationindex,2018-08-02 14:55:24.612585
KILM,CA,,,,,,Multicultural Television Broadcasting,TV station,stationindex,2018-08-02 14:55:24.612585
KAXT-CD,CA,,,,,,OTA Broadcasting,TV station,stationindex,2018-08-02 14:55:24.612585
KTVU,CA,http://www.ktvu.com/,ktvu.com,,,,Fox Television Stations,TV station,stationindex,2018-08-02 14:55:24.612585
K03HY-D,CA,,,,,,One Ministries,TV station,stationindex,2018-08-02 14:55:24.612585
KRON,CA,http://www.kron.com/,kron.com,,,,Nexstar Media Group,TV station,stationindex,2018-08-02 14:55:24.612585
KPIX,CA,http://sanfrancisco.cbslocal.com/,sanfrancisco.cbslocal.com,,,,CBS Corporation,TV station,stationindex,2018-08-02 14:55:24.612585
KGO,CA,http://www.abc7news.com/,abc7news.com,,,,ABC,TV station,stationindex,2018-08-02 14:55:24.612585
KQSL,CA,,,,,,One Ministries,TV station,stationindex,2018-08-02 14:55:24.612585
KQED,CA,http://www.kqed.org/,kqed.org,,,,Northern California Public Broadcasting,TV station,stationindex,2018-08-02 14:55:24.612585
KNTV,CA,http://www.nbcbayarea.com/,nbcbayarea.com,,,,NBC Universal,TV station,stationindex,2018-08-02 14:55:24.612585
KQSL-LD,CA,http://kkpm.tv/,kkpm.tv,,,,One Ministries,TV station,stationindex,2018-08-02 14:55:24.612585
KDTV,CA,,,,,,Univision Communications,TV station,stationindex,2018-08-02 14:55:24.612585
KOFY,CA,http://www.kofytv.com/,kofytv.com,,,,Granite Broadcasting,TV station,stationindex,2018-08-02 14:55:24.612585
KRCB,CA,http://www.krcb.org/,krcb.org,,,,Rural California Broadcasting Corporation,TV station,stationindex,2018-08-02 14:55:24.612585
KTSF,CA,http://www.ktsf.com/,ktsf.com,,,,Lincoln Broadcasting,TV station,stationindex,2018-08-02 14:55:24.612585
KCNZ-CD,CA,,,,,,Poquito Mas Communications,TV station,stationindex,2018-08-02 14:55:24.612585
KMTP,CA,http://www.kmtp.tv/,kmtp.tv,,,,Minority Television Project,TV station,stationindex,2018-08-02 14:55:24.612585
KICU,CA,http://www.ktvu.com/news/ktvuplus,ktvu.com,,,,Fox Television Stations,TV station,stationindex,2018-08-02 14:55:24.612585
KCNS,CA,,,,,,NRJ TV,TV station,stationindex,2018-08-02 14:55:24.612585
KMMC-LD,CA,,,,,,New York Spectrum Holding Company,TV station,stationindex,2018-08-02 14:55:24.612585
KQRM-LP,CA,,,,,,One Ministries,TV station,stationindex,2018-08-02 14:55:24.612585
KTNC,CA,,,,,,"TTBG, LLC",TV station,stationindex,2018-08-02 14:55:24.612585
KBCW,CA,http://cwbayarea.cbslocal.com/,cwbayarea.cbslocal.com,,,,CBS Corporation,TV station,stationindex,2018-08-02 14:55:24.612585
KSTS,CA,http://www.telemundo48.com/,telemundo48.com,,,,NBC Universal,TV station,stationindex,2018-08-02 14:55:24.612585
K49KS-D,CA,http://www.northbaytv.com/,northbaytv.com,,,,,TV station,stationindex,2018-08-02 14:55:24.612585
KEMO,CA,,,,,,Northstar Media,TV station,stationindex,2018-08-02 14:55:24.612585
KTEH,CA,http://www.kteh.org/,kteh.org,,,,Northern California Public Broadcasting,TV station,stationindex,2018-08-02 14:55:24.612585
KCSM,CA,http://www.kcsm.org/,kcsm.org,,,,San Mateo Community College,TV station,stationindex,2018-08-02 14:55:24.612585
KKPX,CA,,,,,,Ion Media Networks,TV station,stationindex,2018-08-02 14:55:24.612585
KFSF,CA,,,,,,Univision Communications,TV station,stationindex,2018-08-02 14:55:24.612585
KTLN,CA,,,,,,OTA Broadcasting,TV station,stationindex,2018-08-02 14:55:24.612585
KCRA,CA,http://www.kcra.com/,kcra.com,,,,Hearst Television,TV station,stationindex,2018-08-02 14:55:24.612585
KVIE,CA,http://www.kvie.org/,kvie.org,,,,"KVIE, Inc.",TV station,stationindex,2018-08-02 14:55:24.612585
KBTV-CD,CA,,,,,,Mako Communications,TV station,stationindex,2018-08-02 14:55:24.612585
KXTV,CA,http://www.abc10.com/,abc10.com,,,,Tegna Media,TV station,stationindex,2018-08-02 14:55:24.612585
