station	website	city	state	broadcaster	source	collection_date
KLFY	klfy.com	Lafayette	LA	Nexstar	nexstar.tv	2018-08-02 20:31:06.425892
WMBD	ciproud.com	Peoria / Bloomington	IL	Nexstar	nexstar.tv	2018-08-02 20:31:06.425892
WYZZ	ciproud.com	Peoria / Bloomington	IL	Nexstar	nexstar.tv	2018-08-02 20:31:06.425892
KGET	kget.com	Bakersfield	CA	Nexstar	nexstar.tv	2018-08-02 20:31:06.425892
KKEY-LD	telemundobakersfield.com	Bakersfield	CA	Nexstar	nexstar.tv	2018-08-02 20:31:06.425892
WRBL	wrbl.com	Columbus	GA	Nexstar	nexstar.tv	2018-08-02 20:31:06.425892
WLAX	wiproud.com	La Crosse / Eau Claire	WI	Nexstar	nexstar.tv	2018-08-02 20:31:06.425892
WEUX	wiproud.com	La Crosse / Eau Claire	WI	Nexstar	nexstar.tv	2018-08-02 20:31:06.425892
KAMR	myhighplains.com	Amarillo	TX	Nexstar	nexstar.tv	2018-08-02 20:31:06.425892
KCIT	myhighplains.com	Amarillo	TX	Nexstar	nexstar.tv	2018-08-02 20:31:06.425892
KCPN	myhighplains.com	Amarillo	TX	Nexstar	nexstar.tv	2018-08-02 20:31:06.425892
KARD	myarklamiss.com	Monroe, LA - El Dorado	AR	Nexstar	nexstar.tv	2018-08-02 20:31:06.425892
KTVE	myarklamiss.com	Monroe, LA - El Dorado	AR	Nexstar	nexstar.tv	2018-08-02 20:31:06.425892
WQRF	mystateline.com	Rockford	IL	Nexstar	nexstar.tv	2018-08-02 20:31:06.425892
WTVO	mystateline.com	Rockford	IL	Nexstar	nexstar.tv	2018-08-02 20:31:06.425892
KSNT	ksnt.com	Topeka	KS	Nexstar	nexstar.tv	2018-08-02 20:31:06.425892
KTKA	ksnt.com	Topeka	KS	Nexstar	nexstar.tv	2018-08-02 20:31:06.425892
KTMJ-CD	ksnt.com	Topeka	KS	Nexstar	nexstar.tv	2018-08-02 20:31:06.425892
KXMA	myndnow.com	Minot / Bismarck / Dickinson / Williston	ND	Nexstar	nexstar.tv	2018-08-02 20:31:06.425892
KXMB	myndnow.com	Minot / Bismarck / Dickinson / Williston	ND	Nexstar	nexstar.tv	2018-08-02 20:31:06.425892
KXMC	myndnow.com	Minot / Bismarck / Dickinson / Williston	ND	Nexstar	nexstar.tv	2018-08-02 20:31:06.425892
KXMD	myndnow.com	Minot / Bismarck / Dickinson / Williston	ND	Nexstar	nexstar.tv	2018-08-02 20:31:06.425892
KMID	yourbasin.com	Midland / Odessa	TX	Nexstar	nexstar.tv	2018-08-02 20:31:06.425892
KPEJ	yourbasin.com	Midland / Odessa	TX	Nexstar	nexstar.tv	2018-08-02 20:31:06.425892
KLBK	everythinglubbock.com	Lubbock	TX	Nexstar	nexstar.tv	2018-08-02 20:31:06.425892
KAMC	everythinglubbock.com	Lubbock	TX	Nexstar	nexstar.tv	2018-08-02 20:31:06.425892
KCAU	siouxlandproud.com	Sioux City	IA	Nexstar	nexstar.tv	2018-08-02 20:31:06.425892
KFDX	texomashomepage.com	Wichita Falls	TX	Nexstar	nexstar.tv	2018-08-02 20:31:06.425892
KJTL	texomashomepage.com	Wichita Falls	TX	Nexstar	nexstar.tv	2018-08-02 20:31:06.425892
