city	id	owner	state	station_info	station_name	subchannels	website	source	collection_date
 Los Angeles	" ""KTLA"""	 Tribune	CA	 Digital Full-Power - 1000 kW	KTLA	 5.1 KTLA/CW, 5.2 Antenna TV, 5.3 This TV	http://www.ktla.com/	stationindex	2018-08-02 14:55:24.612585
 Los Angeles	" ""ABC 7"""	 ABC	CA	 Digital Full-Power - 182 kW	KABC	 7.1 KABC/ABC, 7.2 Live Well, 7.3 Laff TV	http://www.abc7.com/	stationindex	2018-08-02 14:55:24.612585
 Los Angeles	" ""KFLA"""	 Roy William Mayhugh	CA	 Digital Low-Power - 0.3 kW	KFLA-LD	 8.1 KFLA/RTV, 8.2 Corner Store TV, 8.3 Tuff TV, 8.8 Vmas TV		stationindex	2018-08-02 14:55:24.612585
 Los Angeles		 CBS Corporation	CA	 Digital Full-Power - 25 kW	KCAL		http://losangeles.cbslocal.com/	stationindex	2018-08-02 14:55:24.612585
 Los Angeles		 Jeff Chang	CA	 Digital Full-Power - 0.16 kW	KIIO-LD	 10.1 PBJ, 10.2 Infomercials, 10.3 Blank, 10.4 Movies		stationindex	2018-08-02 14:55:24.612585
 Los Angeles	" ""FOX 11"""	 Fox Television Stations	CA	 Digital Full-Power - 15 kW	KTTV		http://www.foxla.com/	stationindex	2018-08-02 14:55:24.612585
 Los Angeles	" ""My 13"""	 Fox Television Stations	CA	 Digital Full-Power - 120 kW	KCOP	 13.1 KCOP/My Network TV, 13.2 Bounce TV, 13.3 Movies!	http://www.foxla.com/my13	stationindex	2018-08-02 14:55:24.612585
 Long Beach	" ""LA 18"""	 NRJ TV LLC	CA	 Digital Full-Power - 110.9 kW	KSCI	" 18.1 KSCI, 
18.2 Seoul Broadcasting System (Korean), 
18.3 MBCD (Korean), 
18.4 Christian Global Network TV (Korean religious), 
18.5 MBC Home Shopping (Korean), 
18.6 YTN (Korean)"		stationindex	2018-08-02 14:55:24.612585
 Los Angeles	" ""Canal 22"""	 Meruelo Broadcasting	CA	 Digital Full-Power - 486 kW	KWHY	 22.1 KWHY/Canal 22	https://www.kwhy22.com/	stationindex	2018-08-02 14:55:24.612585
 Twentynine Palms		 Ronald Ulloa	CA	 Digital Full-Power - 150 kW	KVMD	 31.1 KVMD, 31.2 Domino MG, 31.3 Italian BRD NET, 31.4 VNBC TV, 31.5 TBA, 31.6 TBA, 31.7 TBW TV, 31.8 WCE TV, 31.9 TBA	http://www.kvmdtv.com/	stationindex	2018-08-02 14:55:24.612585
