city	id	owner	state	station_info	station_name	subchannels	website	source	collection_date
 Leesburg	" ""Super Channel"""	 Associated Christian Television System	FL	 Digital Full-Power - 1000 kW	WACX		http://www.wacxtv.com/	stationindex	2018-08-02 14:55:24.612585
 Melbourne	" ""Unimas 43"""	 Univision Communications	FL	 Digital Full-Power - 1000 kW	WOTF	 43.1 Unimas		stationindex	2018-08-02 14:55:24.612585
 Leesburg		 Good Life Broadcasting	FL	 Digital Educational Full-Power - 1000 kW	WTGL		http://www.tv52.org/	stationindex	2018-08-02 14:55:24.612585
 Orlando	" ""Mira TV"""	 TMA TIG LLC	FL	 Digital Low-Power - 10 kW	WATV-LD	 47.1 Mira TV, 47.2 Mi Musica, 47.3 TV Reino, 47.4 Infomercials		stationindex	2018-08-02 14:55:24.612585
 Cocoa		 Trinity Broadcasting Network	FL	 Digital Full-Power - 1000 kW	WHLV	 51.1 WHLV/TBN, 51.2 Church Channel, 51.3 JCTV, 51.4 Enlace USA, 51.5 Smile of a Child		stationindex	2018-08-02 14:55:24.612585
 Melbourne		 Ion Media Networks	FL	 Digital Full-Power - 1000 kW	WOPX	 56.1 Ion, 56.2 Qubo, 56.3 Ion Life, 56.4 Ion Shop, 56.5 QVC, 56.6 HSN		stationindex	2018-08-02 14:55:24.612585
 Orlando	" ""My 65"""	 Fox Television Stations	FL	 Digital Full-Power - 763 kW	WRBW	 65.1 WRBW/My Network TV, 65.2 Bounce TV	http://www.my65orlando.com/	stationindex	2018-08-02 14:55:24.612585
 Cocoa		 Brevard Community College	FL	 Digital Educational Full-Power - 182 kW	WBCC			stationindex	2018-08-02 14:55:24.612585
 Sacramento		 Hearst Television	CA	 Digital Full-Power - 1000 kW	KCRA	 3.1 KCRA/NBC, 3.2 Me TV (Classic TV)	http://www.kcra.com/	stationindex	2018-08-02 14:55:24.612585
 Sacramento		 KVIE, Inc.	CA	 Digital Educational Full-Power - 33 kW	KVIE	 6.1 KVIE/PBS, 6.2 KVIE 2, 6.3 World Channel, 6.4 V-me	http://www.kvie.org/	stationindex	2018-08-02 14:55:24.612585
 Sacramento		 Mako Communications	CA	 Digital Class-A - 15 kW	KBTV-CD			stationindex	2018-08-02 14:55:24.612585
 Sacramento	" ""ABC 10"""	 Tegna Media	CA	 Digital Full-Power - 34.5 kW	KXTV	 10.1 KXTV/ABC, 10.2 Justice Network	http://www.abc10.com/	stationindex	2018-08-02 14:55:24.612585
 Stockton	" ""CBS 13"""	 CBS Corporation	CA	 Digital Full-Power - 760 kW	KOVR	 13.1 KOVR/CBS, 13.2 Decades	http://sacramento.cbslocal.com/	stationindex	2018-08-02 14:55:24.612585
 Sacramento	" ""Telemundo Sacramento"""	 Serestar Communications	CA	 Digital Class-A - 15 kW	KMUM-CD			stationindex	2018-08-02 14:55:24.612585
 Modesto		 Univision	CA	 Digital Full-Power - 500 kW	KUVS	 19.1 KUVS/Univision		stationindex	2018-08-02 14:55:24.612585
 Ceres	" ""AssyriaVision"""	 Bet-Nahrain, Inc.	CA	 Digital Educational Full-Power - 0.42 kW	KBSV	 23.1 KBSV/AssyriaVision	http://www.betnahrain.org/KBSV/kbsv.htm	stationindex	2018-08-02 14:55:24.612585
 Sacramento	" ""Home Shopping Network"""	 Univision	CA	 Digital Class-A - 12.2 kW	KEZT-CD	 23.1 HSN		stationindex	2018-08-02 14:55:24.612585
 Chico		 One Ministries	CA	 Digital Class-A - 15 kW	KKPM-CD	 28.1 Better Life (3ABN 7th Day Adventist), 28.2 Better Life Health, 28.3 Better Life Sermons, 28.4 Better Life / 3ABN in Spanish, 28.5 God TV, 28.6 Daystar, 28.7 American Uncensored News, 28.8 North Bay TV (K49KS-D)	http://kkpm.tv/	stationindex	2018-08-02 14:55:24.612585
 Stockton		 Serestar Communications	CA	 Digital Class-A - 15 kW	KMMW-LD			stationindex	2018-08-02 14:55:24.612585
 Sacramento		 Ion Media Networks	CA	 Digital Full-Power - 1000 kW	KSPX	 29.1 Ion, 29.2 Qubo, 29.3 Ion Life, 29.4 Ion Shop, 29.5 QVC, 29.6 HSN		stationindex	2018-08-02 14:55:24.612585
 Sacramento	" ""CW 31"""	 CBS Corporation	CA	 Digital Full-Power - 850 kW	KMAX		http://sacramento.cbslocal.com/	stationindex	2018-08-02 14:55:24.612585
 Sacramento		 Lazer Broadcasting	CA	 Low-Power - 150 kW	KSTV-LP			stationindex	2018-08-02 14:55:24.612585
 Sacramento	" ""Telemundo 33"""	 Serestar Communications	CA	 Digital Low-Power - 3 kW	KCSO-LD	 33.1 KCSO/Telemundo, 33.2 Unknown, 33.3 KUUS Country	http://www.kcso33.com/	stationindex	2018-08-02 14:55:24.612585
 Sacramento	" ""FOX 40"""	 Tribune	CA	 Digital Full-Power - 950 kW	KTXL	 40.1 KTXL/FOX, 40.2 Antenna TV, 40.3 This TV	http://www.fox40.com/	stationindex	2018-08-02 14:55:24.612585
 Sacramento	" ""MundoMax KSAO 49"""	 Cocola Broadcasting	CA	 Digital Low-Power - 15 kW	KSAO-LD	 49.1 MundoMax, 49.2 My Family TV, 49.3 For Lease, 49.4 For Lease, 49.5 For Lease, 49.6 For Lease		stationindex	2018-08-02 14:55:24.612585
 Stockton	" ""My 58"""	 Hearst Television	CA	 Digital Full-Power - 600 kW	KQCA	 58.1 KQCA/My Network TV, 58.2 This TV	http://www.kcra.com/my58	stationindex	2018-08-02 14:55:24.612585
 Stockton	" ""Unimas 64"""	 Univision	CA	 Digital Full-Power - 850 kW	KTFK	 64.1 Unimas, 19.2 Univision, 64.3 GetTV, 64.4 Grit TV		stationindex	2018-08-02 14:55:24.612585
 St. Louis	" ""FOX 2"""	 Local TV LLC	MO	 Digital Full-Power - 1000 kW	KTVI		http://www.fox2now.com/	stationindex	2018-08-02 14:55:24.612585
 St. Louis	" ""News 4"""	 Tegna Media	MO	 Digital Full-Power - 1000 kW	KMOV		http://www.kmov.com/	stationindex	2018-08-02 14:55:24.612585
 St. Louis	" ""News Channel 5"""	 Tegna Media	MO	 Digital Full-Power - 838 kW	KSDK		http://www.ksdk.com/	stationindex	2018-08-02 14:55:24.612585
 St. Louis		 St. Louis Regional Educational and Public Television Commission	MO	 Digital Educational Full-Power - 124.6 kW	KETC		http://www.ketc.org/	stationindex	2018-08-02 14:55:24.612585
 St. Louis	" ""CW 11"""	 Tribune	MO	 Digital Full-Power - 1000 kW	KPLR	 11.1 KPLR/CW, 11.2 Antenna TV	http://www.kplr11.com/	stationindex	2018-08-02 14:55:24.612585
 St. Louis		 New Life Evangelistic Center	MO	 Digital Full-Power - 900 kW	KNLC		http://www.knlc.tv/	stationindex	2018-08-02 14:55:24.612585
 St. Louis	" ""ABC 30"""	 Sinclair Broadcast Group	MO	 Digital Full-Power - 1000 kW	KDNL		http://www.abcstlouis.com/	stationindex	2018-08-02 14:55:24.612585
 East St. Louis		 Ion Media Networks	IL	 Digital Full-Power - 109.4 kW	WRBU	 46.1 Ion, 46.2 Qubo, 46.3 Ion Life, 46.4 Ion Shop, 46.5 QVC, 46.6 HSN		stationindex	2018-08-02 14:55:24.612585
 Portland		 Sinclair Broadcast Group	OR	 Digital Full-Power - 1000 kW	KATU	 2.1 KATU/ABC, 2.2 Me TV, 2.3 Grit TV	http://www.katu.com/	stationindex	2018-08-02 14:55:24.612585
 Portland	" ""Portland's CW 32 / KRCW"""	 Tribune	OR	 Digital Low-Power - 0.3 kW	KRCW-LP		http://www.portlandscw32.com/	stationindex	2018-08-02 14:55:24.612585
 Portland	" ""KOIN 6"""	 New Vision Television	OR	 Digital Full-Power - 1000 kW	KOIN	 6.1 KOIN/CBS	http://koin.com/	stationindex	2018-08-02 14:55:24.612585
 Portland	" ""KGW 8"""	 Tegna Media	OR	 Digital Full-Power - 25 kW	KGW	 8.1 KGW/NBC, 8.2 KGW Justice Network, 8.3 Estrella TV	http://www.kgw.com/	stationindex	2018-08-02 14:55:24.612585
 Portland		 Oregon Public Broadcasting	OR	 Digital Educational Full-Power - 32.4 kW	KOPB	 10.1 OPB HD, 10.2 OPB Plus, 10.3 OPB Radio	http://www.opb.org/	stationindex	2018-08-02 14:55:24.612585
 Portland	" ""FOX 12"""	 Meredith Corporation	OR	 Digital Full-Power - 24.5 kW	KPTV		http://www.kptv.com/	stationindex	2018-08-02 14:55:24.612585
 Salem		 WatchTV	OR	 Digital Class-A - 15 kW	KORS-CD	 16.1 Home Shopping Network, 16.2 Youtoo		stationindex	2018-08-02 14:55:24.612585
 Salem	" ""Valley 17"""	 Northwest Television, LLC	OR	 Digital Low-Power - 35 kW	KWVT-LP		http://www.kwvtsalem.com/	stationindex	2018-08-02 14:55:24.612585
 Camas		 WatchTV	WA	 Digital Class-A - 15 kW	KOXI-CD			stationindex	2018-08-02 14:55:24.612585
 Salem		 Ion Media Networks	OR	 Digital Full-Power - 745 kW	KPXG	 22.1 Ion, 22.2 Qubo, 22.3 Ion Life, 22.4 Ion Shop, 22.5 QVC, 22.6 HSN		stationindex	2018-08-02 14:55:24.612585
 Portland		 Trinity Broadcasting Network	OR	 Digital Full-Power - 1000 kW	KNMT	 24.1 KNMT/TBN, 24.2 Church Channel, 24.3 JCTV, 24.4 Enlace USA, 24.5 Smile of a Child	http://www.tbn.org/	stationindex	2018-08-02 14:55:24.612585
 Portland		 Northwest Christian Broadcasting	OR	 Digital Low-Power - 15 kW	KJYY-LD	 26.1 KJYY	http://www.ncbtv.org/	stationindex	2018-08-02 14:55:24.612585
 Salem	" ""Portland's CW 32"""	 Tribune	OR	 Digital Full-Power - 750 kW	KRCW	 32.1 KRCW/CW, 32.2 Antenna TV, 32.3 This TV	http://www.portlandscw32.com/	stationindex	2018-08-02 14:55:24.612585
 Portland		 WatchTV	OR	 Digital Class-A - 15 kW	KORK-CD	 35.1 Shopping		stationindex	2018-08-02 14:55:24.612585
 Vancouver		 Southern Oregon Conference Association of Seventh-Day Adventists	WA	 Digital Low-Power - 15 kW	KEVE-LD	 36.1 Religious, 36.2 Coming Soon, 36.3 Coming Soon	http://www.betterlifetv.tv/	stationindex	2018-08-02 14:55:24.612585
 Salem		 Northwest Christian Broadcasting	OR	 Digital Low-Power - 15 kW	KJWY-LD	 36.1 KJWY	http://www.ncbtv.org/	stationindex	2018-08-02 14:55:24.612585
 Portland		 WatchTV	OR	 Digital Class-A - 15 kW	KKEI-CD	 38.1 Telemundo		stationindex	2018-08-02 14:55:24.612585
 Portland		 Ion Media Networks	OR	 Digital Low-Power - 15 kW	KPXG-LD	 22.1 KPXG/ION, 22.2 Qubo, 22.3 Ion Life		stationindex	2018-08-02 14:55:24.612585
 Portland	" ""Univision Portland"""	 Sinclair Broadcast Group	OR	 Digital Low-Power - 15 kW	KUNP-LD	 47.1 Univision, 47.2 MundoMax.3 Grit TV	http://www.kunptv.com/	stationindex	2018-08-02 14:55:24.612585
 Vancouver	" ""PDX TV"""	 Meredith	WA	 Digital Full-Power - 1000 kW	KPDX		http://www.kpdx.com/	stationindex	2018-08-02 14:55:24.612585
 Newberg		 WatchTV	OR	 Digital Class-A - 15 kW	KOXO-LD	 51.1 KOXO/Unimas		stationindex	2018-08-02 14:55:24.612585
 Pittsburgh		 CBS Corporation	PA	 Digital Full-Power - 1000 kW	KDKA		http://pittsburgh.cbslocal.com/	stationindex	2018-08-02 14:55:24.612585
 Pittsburgh		 Hearst Television	PA	 Digital Full-Power - 1000 kW	WTAE		http://www.thepittsburghchannel.com/	stationindex	2018-08-02 14:55:24.612585
 Pittsburgh		 Cox Enterprises	PA	 Digital Full-Power - 1000 kW	WPXI	 11.1 WPXI/NBC, 11.2 MeTV	http://www.wpxi.com/	stationindex	2018-08-02 14:55:24.612585
 Pittsburgh		 WQED Multimedia	PA	 Digital Educational Full-Power - 25 kW	WQED		http://www.wqed.org/	stationindex	2018-08-02 14:55:24.612585
 Pittsburgh		 Ion Media Networks	PA	 Digital Full-Power - 500 kW	WINP	 16.1 Ion, 16.2 Qubo, 16.3 Ion Life, 16.4 Ion Shop, 16.5 QVC, 16.6 HSN		stationindex	2018-08-02 14:55:24.612585
 Jeannette	" ""Pittsburgh's CW"""	 CBS Corporation	PA	 Digital Full-Power - 30 kW	WPCW		http://cwpittsburgh.cbslocal.com/	stationindex	2018-08-02 14:55:24.612585
 Pittsburgh	" ""My TV Pittsburgh"""	 Sinclair Broadcast Group	PA	 Digital Full-Power - 1000 kW	WPMY		http://www.wcwb22.com/	stationindex	2018-08-02 14:55:24.612585
 Greensburg		 Cornerstone Television	PA	 Digital Full-Power - 362 kW	WPCB		http://www.ctvn.org/	stationindex	2018-08-02 14:55:24.612585
 Pittsburgh	" ""FOX 53"""	 Sinclair Broadcast Group	PA	 Digital Full-Power - 1,000 kW	WPGH		http://www.wpgh53.com/	stationindex	2018-08-02 14:55:24.612585
 Charlotte		 Raycom Media	NC	 Digital Full-Power - 1000 kW	WBTV		http://www.wbtv.com/	stationindex	2018-08-02 14:55:24.612585
 Charlotte		 Cox Enterprises	NC	 Digital Full-Power - 1000 kW	WSOC		http://www.wsoctv.com/	stationindex	2018-08-02 14:55:24.612585
 Hickory		 Long Communications	NC	 Digital Full-Power - 600 kW	WHKY		http://www.whky.com/	stationindex	2018-08-02 14:55:24.612585
 Charlotte	" ""FOX Charlotte"""	 Bahakel Communications	NC	 Digital Full-Power - 1000 kW	WCCB	 18.1 WCCB/FOX, 18.2 FOX SD, 18.3 MeTV	http://www.fox18wccb.com/	stationindex	2018-08-02 14:55:24.612585
 Rock HIll	" ""ETV"""	 South Carolina Educational Television Commission	NC	 Digital Educational Full-Power - 403 kW	WNSC		http://www.wnsc.org/	stationindex	2018-08-02 14:55:24.612585
 Charlotte		 Tegna Media	NC	 Digital Full-Power - 791 kW	WCNC		http://www.wcnc.com/	stationindex	2018-08-02 14:55:24.612585
 Charlotte		 Mecklenburg Public Broadcasting Authority	NC	 Digital Educational Full-Power - 2.2 kW	WTVI		http://www.wtvi.org/	stationindex	2018-08-02 14:55:24.612585
 Belmont	" ""CW 46"""	 Capitol Broadcasting	NC	 Digital Full-Power - 1000 kW	WJZY		http://www.wjzy.com/	stationindex	2018-08-02 14:55:24.612585
 Rock Hill	" ""My TV 12"""	 Capitol Broadcasting	SC	 Digital Full-Power - 200 kW	WMYT		http://www.wmyt12.com/	stationindex	2018-08-02 14:55:24.612585
 Concord	" ""UNC TV"""	 University of North Carolina	NC	 Digital Educational Full-Power - 150 kW	WUNG		http://www.unctv.org/	stationindex	2018-08-02 14:55:24.612585
 Kannapolis	" ""TV64"""	 Cox Enterprises	NC	 Digital Full-Power - 150 kW	WAXN	 64.1 Independent, 64.2 GetTV, 64.3 Escape	http://www.wsoctv.com/s/tv64/	stationindex	2018-08-02 14:55:24.612585
 Bloomington	" ""4 WTTV"""	 Tribune	IN	 Digital Full-Power - 870 kW	WTTV	 4.1 WTTV/CW, 4.2 This TV	http://www.indianas4.com/	stationindex	2018-08-02 14:55:24.612585
 Indianapolis	" ""rtv 6"""	 E. W. Scripps Company	IN	 Digital Full-Power - 898 kW	WRTV		http://www.theindychannel.com/	stationindex	2018-08-02 14:55:24.612585
 Indianapolis		 LIN TV	IN	 Digital Full-Power - 19.5 kW	WISH		http://www.wishtv.com/	stationindex	2018-08-02 14:55:24.612585
 Indianapolis		 Dispatch Broadcast Group	IN	 Digital Full-Power - 22 kW	WTHR	 13.1 WTHR/NBC, 13.2 SkyTrak Weather, 13.3 Me TV	http://www.wthr.com/	stationindex	2018-08-02 14:55:24.612585
 Indianapolis		 Metropolitan Indianapolis Public BroadcastingMetropolitan Indianapolis Public Broadcasting	IN	 Digital Educational Full-Power - 200 kW	WFYI		http://www.wfyi.org/	stationindex	2018-08-02 14:55:24.612585
 Marion	" ""My NDY"""	 LIN TV	IN	 Digital Full-Power - 1000 kW	WNDY		http://www.wndy.com/	stationindex	2018-08-02 14:55:24.612585
 Kokomo	" ""4 WTTV"""	 Tribune	IN	 Digital Full-Power - 550 kW	WTTK		http://www.indianas4.com/	stationindex	2018-08-02 14:55:24.612585
 Bloomington		 Indiana University	IN	 Digital Educational Full-Power - 224 kW	WTIU		http://www.indiana.edu/~radiotv/wtiu/	stationindex	2018-08-02 14:55:24.612585
 Indianapolis		 LeSea Broadcasting	IN	 Digital Full-Power - 163 kW	WHMB		http://www.whmbtv.com/	stationindex	2018-08-02 14:55:24.612585
 Bloomington		 Trinity Broadcasting Network	IN	 Digital Full-Power - 850 kW	WCLJ	 42.1 WCLJ/TBN, 42.2 Church Channel, 42.3 JCTV, 42.4 Enlace USA, 42.5 Smile of a Child 	http://www.tbn.org/	stationindex	2018-08-02 14:55:24.612585
 Muncie		 Ball State University	IN	 Digital Educational Full-Power - 250 kW	WIPB	 49.1 WIPB/PBS	http://www.bsu.edu/wipb/	stationindex	2018-08-02 14:55:24.612585
 Indianapolis	" ""FOX 59"""	 Tribune	IN	 Digital Full-Power - 700 kW	WXIN		http://www.fox59.com/	stationindex	2018-08-02 14:55:24.612585
 Bloomington		 Ion Media Networks	IN	 Digital Full-Power - 165 kW	WIPX	 63.1 Ion, 63.2 Qubo, 63.3 Ion Life, 63.4 Ion Shop, 63.5 QVC, 63.6 HSN		stationindex	2018-08-02 14:55:24.612585
 Indianapolis		 Daystar Television Network	IN	 Digital Educational Full-Power - 1000 kW	WDTI			stationindex	2018-08-02 14:55:24.612585
 Baltimore		 E.W. Scripps	MD	 Digital Full-Power - 1000 kW	WMAR	 2.1 WMAR/ABC, 2.2 Live Well Network	http://www.wmar.com/	stationindex	2018-08-02 14:55:24.612585
 Seaford		 Western Pacific Broadcast	DE	 Digital Full-Power - 10 kW	WMDE	 5.1 WMDE		stationindex	2018-08-02 14:55:24.612585
 Baltimore		 Hearst Television	MD	 Digital Full-Power - 5 kW	WBAL		http://www.wbaltv.com/	stationindex	2018-08-02 14:55:24.612585
 Baltimore		 CBS Corporation	MD	 Digital Full-Power - 28.8 kW	WJZ		http://baltimore.cbslocal.com/	stationindex	2018-08-02 14:55:24.612585
 Baltimore	" ""24"""	 Deerfield Media	MD	 Digital Full-Power - 290 kW	WUTB	 24.1 WUTB/My Network TV, 24.2 Bounce TV	http://www.mytvbaltimore.com/	stationindex	2018-08-02 14:55:24.612585
 Baltimore	" ""FOX 45"""	 Sinclair Broadcast Group	MD	 Digital Full-Power - 550 kW	WBFF	 45.1 WBFF/FOX, 45.2 This TV	http://www.foxbaltimore.com/	stationindex	2018-08-02 14:55:24.612585
 Baltimore	" ""CW Baltimore"""	 Cunningham Broadcasting	MD	 Digital Full-Power - 845 kW	WNUV		http://www.cwbaltimore.com/	stationindex	2018-08-02 14:55:24.612585
 Baltimore	" ""MPT / WMPT"""	 Maryland Public Broadcasting Commission	MD	 Digital Educational Full-Power - 14 kW	WMPB		http://www.mpt.org/	stationindex	2018-08-02 14:55:24.612585
 Chapel Hill	" ""UNC TV"""	 University of North Carolina	NC	 Digital Educational Full-Power - 1000 kW	WUNC		http://www.unctv.org/	stationindex	2018-08-02 14:55:24.612585
 Raleigh	" ""5 WRAL"""	 Capitol Broadcasting	NC	 Digital Full-Power - 1000 kW	WRAL	 5.1 NBC, 5.2 Cozi TV	http://www.wral.com/	stationindex	2018-08-02 14:55:24.612585
 Durham	" ""ABC 11"""	 ABC	NC	 Digital Full-Power - 45 kW	WTVD	 11.1 WTVD/ABC, 11.2 Live Well HD, 11.3 News	http://abc11.com/	stationindex	2018-08-02 14:55:24.612585
 Goldsboro	" ""CBS 17"""	 Nexstar Media Group	NC	 Digital Full-Power - 291 kW	WNCN	 17.1 CBS, 17.3 Grit, 17.4 Escape	http://www.cbs17.com/	stationindex	2018-08-02 14:55:24.612585
 Raleigh	" ""CW 22"""	 Sinclair Broadcast Group	NC	 Digital Full-Power - 725 kW	WLFL	 22.1 The CW, 22.2 Stadium, 22.3 TBD, 22.4 Antenna TV	http://raleighcw.com/	stationindex	2018-08-02 14:55:24.612585
 Durham	" ""My RDC"""	 Sinclair Broadcast Group	NC	 Digital Full-Power - 725 kW	WRDC	 28.1 MyNetworkTV, 28.2 Charge!, 28.3 Comet	http://www.myrdctv.com/	stationindex	2018-08-02 14:55:24.612585
 Wake Forest		 Radiant Life Ministries	NC	 Digital Full-Power - 1000 kW	WRAY			stationindex	2018-08-02 14:55:24.612585
 Fayetteville		 Univision	NC	 Digital Full-Power - 1000 kW	WUVC	 40.1 Univision, 40.2 UniMas, 40.3 Bounce TV, 40.4 GetTV, 40.5 Justice Network, 40.6 Quest	https://www.univision.com/north-carolina/wuvc	stationindex	2018-08-02 14:55:24.612585
 Goldsboro			NC	 Digital Class-A - 15 kW	WHFL-CD	 43.1 Religious, 43.2 Legacy TV, 43.3 WHFL Music (Audio)		stationindex	2018-08-02 14:55:24.612585
 Rocky Mount		 Ion Media Networks	NC	 Digital Full-Power - 180 kW	WRPX	 47.1 Ion, 47.2 Qubo, 47.3 Ion Life, 47.4 Ion Shop, 47.5 QVC, 47.6 HSN		stationindex	2018-08-02 14:55:24.612585
 Raleigh	" ""FOX 50"""	 Capitol Broadcasting	NC	 Digital Full-Power - 1000 kW	WRAZ	 50.1 WRAZ/FOX, 50.2 MeTV	http://www.fox50.com/	stationindex	2018-08-02 14:55:24.612585
 Archer Lodge		 Ion Media Networks	NC	 Digital Full-Power - 180 kW	WFPX	 62.1 Ion, 62.2 Qubo, 62.3 Ion Life, 62.4 Ion Shop, 62.5 QVC, 62.6 HSN		stationindex	2018-08-02 14:55:24.612585
 Tijuana	" ""San Diego 6"""	 Televisa Grupo Televisa	MX	 Digital Full-Power - 402 kW	XETV		http://www.sandiego6.com/	stationindex	2018-08-02 14:55:24.612585
 San Diego	" ""News 8"""	 Tenga	CA	 Digital Full-Power - 14.87 kW	KFMB	 8.1 CBS/KFMB, 8.2 CW, 8.3 Grit	http://www.cbs8.com/	stationindex	2018-08-02 14:55:24.612585
 San Diego	" ""10"""	 E. W. Scripps Company	CA	 Digital Full-Power - 20.7 kW	KGTV	 10.1 KGTV/ABC, 10.2 KZSD-LP/Azteca America	http://www.10news.com/	stationindex	2018-08-02 14:55:24.612585
 Tijuana		 Televisa Grupo Televisa	MX	 Digital Full-Power - 325 kW	XEWT		http://www.xewt12.com/	stationindex	2018-08-02 14:55:24.612585
 San Diego		 San Diego State University	CA	 Digital Educational Full-Power - 350 kW	KPBS	 15.1 KPBS/PBS, 15.2 V-me	http://www.kpbs.org/	stationindex	2018-08-02 14:55:24.612585
 San Diego	" ""Univision 17"""	 Entravision	CA	 Digital Class-A - 11.9 kW	KBNT-CD		http://www.kbnt.com/	stationindex	2018-08-02 14:55:24.612585
 San Diego	" ""Estrella TV KSDX 29"""	 Liberman Broadcasting	CA	 Low-Power - 150 kW	KSDX-LP	 29.1 KSDX/Estrella TV		stationindex	2018-08-02 14:55:24.612585
 Tijuana	" ""Telemundo 33"""		MX	 Digital Full-Power - 403 kW	XHAS			stationindex	2018-08-02 14:55:24.612585
 San Diego	" ""NBC San Diego"""	 NBC Universal	CA	 Digital Full-Power - 370 kW	KNSD	 39.1 KNSD/NBC, 39.2 Cozi TV	http://www.nbcsandiego.com/	stationindex	2018-08-02 14:55:24.612585
 San Diego	" ""Azteca 15 San Diego"""	 E. W. Scripps Company	CA	 Low-Power - 15 kW	KZSD-LP		http://www.aztecasd.com/	stationindex	2018-08-02 14:55:24.612585
 Poway		 Asian Media Group	CA	 Low-Power - 3.4 kW	KUAN-LP			stationindex	2018-08-02 14:55:24.612585
 Tecate	" ""MY TV 13"""	 Entravision	MX	 Digital Full-Power - 3000 kW	XHDTV		http://www.mytv13.com/	stationindex	2018-08-02 14:55:24.612585
 San Diego	" ""KUSI 9 51"""	 McKinnon Broadcasting	CA	 Digital Full-Power - 355 kW	KUSI		http://www.kusi.com/	stationindex	2018-08-02 14:55:24.612585
 San Diego	" ""FOX 5"""	 Tribune	CA	 Digital Full-Power - 322.8 kW	KSWB	 69.1 KSWB/FOX, 69.2 Antenna TV	http://www.fox5sandiego.com/	stationindex	2018-08-02 14:55:24.612585
 Nashville	" ""News 2"""	 Nexstar Media Group	TN	 Digital Full-Power - 1000 kW	WKRN		http://www.wkrn.com/	stationindex	2018-08-02 14:55:24.612585
 Nashville	" ""4 News"""	 Meredith	TN	 Digital Full-Power - 42.4 kW	WSMV	 4.1 WSMV/NBC, 4.2 The Nashville Network (TNN)	http://www.wsmv.com/	stationindex	2018-08-02 14:55:24.612585
 Nashville	" ""News Channel 5"""	 Landmark Communications	TN	 Digital Full-Power - 100 kW	WTVF		http://www.newschannel5.com/	stationindex	2018-08-02 14:55:24.612585
 Nashville			TN	 Digital Educational Full-Power - 316 kW	WNPT		http://www.wnpt.net/	stationindex	2018-08-02 14:55:24.612585
 Nashville	" ""FOX 17"""	 Sinclair Broadcast Group	TN	 Digital Full-Power - 1000 kW	WZTV		http://www.fox17.com/	stationindex	2018-08-02 14:55:24.612585
 Cookeville			TN	 Digital Educational Full-Power - 1320 kW	WCTE		http://www.wcte.org/	stationindex	2018-08-02 14:55:24.612585
 Cookeville		 Ion Media Networks	TN	 Digital Full-Power - 1000 kW	WNPX	 28.1 Ion, 28.2 Qubo, 28.3 Ion Life, 28.4 Ion Shop, 28.5 QVC, 28.6 HSN	http://www.iontelevision.com/	stationindex	2018-08-02 14:55:24.612585
 Nashville	" ""My 30"""	 Sinclair Broadcast Group	TN	 Digital Full-Power - 1000 kW	WUXP		http://www.wuxp.com/	stationindex	2018-08-02 14:55:24.612585
 Nashville		 South Central Communications	TN	 Digital Class-A - 5.3 kW	WJDE-LD	 31.1 Home Shopping Network		stationindex	2018-08-02 14:55:24.612585
 Murfreesboro		 Christian Television Network	TN	 Digital Full-Power - 1000 kW	WHTN	 39.1 Religious/CTN		stationindex	2018-08-02 14:55:24.612585
 Nashville	" ""Unimas"""	 JKB Associates	TN	 Digital Full-Power - 150 kW	WLLC-LP	 42.1 Unimas		stationindex	2018-08-02 14:55:24.612585
 Hendersonville		 Trinity Broadcasting Network	TN	 Digital Full-Power - 1000 kW	WPGD	 50.1 WPGD/TBN, 50.2 Church Channel, 50.3 JCTV, 50.4 Enlace USA, 50.5 Smile of a Child	http://www.tbn.org/	stationindex	2018-08-02 14:55:24.612585
 Nashville	" ""CW 58"""	 Lambert Broadcasting Group	TN	 Digital Full-Power - 3980 kW	WNAB		http://www.cw58.tv/	stationindex	2018-08-02 14:55:24.612585
 Lebanon		 Bryant Broadcasting	TN	 Digital Full-Power - 2240 kW	WJFB			stationindex	2018-08-02 14:55:24.612585
 Hartford		 Meredith	CT	 Digital Full-Power - 100 kW	WFSB		http://www.wfsb.com/	stationindex	2018-08-02 14:55:24.612585
 New Haven	" ""NewsChannel 8"""	 LIN TV	CT	 Digital Full-Power - 166 kW	WTNH		http://www.wtnh.com/	stationindex	2018-08-02 14:55:24.612585
 Hartford	" ""Univision 18"""	 Entravision	CT	 Digital Full-Power - 3160 kW	WUVN			stationindex	2018-08-02 14:55:24.612585
 Waterbury	" ""The CT"""	 Tribune	CT	 Digital Full-Power - 2240 kW	WCCT	 20.1 WCCT/CW, 20.2 This TV	http://www.ct.com/	stationindex	2018-08-02 14:55:24.612585
 Hartford	" ""CPTV"""		CT	 Digital Educational Full-Power - 813 kW	WEDH		http://www.cptv.org/	stationindex	2018-08-02 14:55:24.612585
 New London		 Ion Media Networks	CT	 Digital Full-Power - 90 kW	WHPX	 26.1 Ion, 26.2 Qubo, 26.3 Ion Life, 26.4 Ion Shop, 26.5 QVC, 26.6 HSN		stationindex	2018-08-02 14:55:24.612585
 New Britain	" ""NBC 30"""	 NBC Universal	CT	 Digital Full-Power - 3090 kW	WVIT	 30.1 WVIT/NBC, 30.2 NBC Plus, 30.3 Blank	http://www.nbcconnecticut.com/	stationindex	2018-08-02 14:55:24.612585
